['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:226, BR:0, AC:13, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:229, BR:0, AC:13, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:234, BR:0, AC:13, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:237, BR:0, AC:13, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:243, BR:0, AC:21, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:246, BR:0, AC:21, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:250, BR:0, AC:10, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:254, BR:0, AC:20, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:259, BR:0, AC:20, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:262, BR:0, AC:20, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:267, BR:0, AC:13, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:270, BR:0, AC:13, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:275, BR:0, AC:21, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:280, BR:0, AC:21, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:283, BR:0, AC:21, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:288, BR:0, AC:21, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:291, BR:0, AC:21, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:297, BR:0, AC:34, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:300, BR:0, AC:34, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:304, BR:0, AC:17, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:308, BR:0, AC:34, SP:256, PS:1, IP:6, AR:6 }  MUL #2
